iso,compare,base,abs_diff,rel_pct,table,part,sign
NLD,36402.48186,40281.77,3879.288139999997,10.7,3,B,base>compare
QAT,69512.33140806697,6433.34,-63078.99140806697,-90.7,4,A,base<compare
LUX,68290.30821737784,26375.28,-41915.02821737784,-61.4,4,A,base<compare
IRL,38896.38759964619,4165.21,-34731.17759964619,-89.3,4,A,base<compare
ISL,34889.1875401664,773.34,-34115.8475401664,-97.8,4,A,base<compare
ARE,66854.72186408594,34039.44,-32815.28186408593,-49.1,4,A,base<compare
CAN,35033.422929423214,2799.3,-32234.122929423214,-92.0,4,A,base<compare
GBR,32957.66985399184,1321.1,-31636.569853991845,-96.0,4,A,base<compare
SGP,45374.23754781624,15393.48,-29980.757547816243,-66.1,4,A,base<compare
BRN,48377.12574053728,18634.91,-29742.21574053728,-61.5,4,A,base<compare
BHS,31199.35797364577,1518.93,-29680.42797364577,-95.1,4,A,base<compare
FIN,30707.945880471867,4880.38,-25827.565880471866,-84.1,4,A,base<compare
ESP,27392.043394573804,3048.2,-24343.843394573803,-88.9,4,A,base<compare
BEL,32189.3513309627,9578.52,-22610.8313309627,-70.2,4,A,base<compare
CYP,24408.041684,2202.23,-22205.811684,-91.0,4,A,base<compare
ITA,28279.8705280748,6235.52,-22044.3505280748,-78.0,4,A,base<compare
SVN,23475.572676769923,2325.9,-21149.672676769922,-90.1,4,A,base<compare
DNK,33193.23728985131,13309.61,-19883.627289851313,-59.9,4,A,base<compare
FRA,29452.66777855884,10201.15,-19251.51777855884,-65.4,4,A,base<compare
KWT,48782.64549365272,32059.09,-16723.555493652722,-34.3,4,A,base<compare
USA,42516.3934699993,25848.61,-16667.783469999296,-39.2,4,A,base<compare
MAC,37236.34818631606,21663.28,-15573.068186316064,-41.8,4,A,base<compare
NZL,25304.94061900198,9735.22,-15569.72061900198,-61.5,4,A,base<compare
TTO,20058.236911932712,4969.34,-15088.896911932712,-75.2,4,A,base<compare
GAB,13014.26413683032,2738.75,-10275.51413683032,-79.0,4,A,base<compare
ATG,18170.746713762,8222.92,-9947.826713762,-54.7,4,A,base<compare
PRT,21368.95878656385,11494.34,-9874.61878656385,-46.2,4,A,base<compare
BRB,17964.836799994184,11010.79,-6954.046799994183,-38.7,4,A,base<compare
HUN,16974.559812255135,10336.43,-6638.129812255134,-39.1,4,A,base<compare
LVA,13040.435242469186,6419.92,-6620.515242469186,-50.8,4,A,base<compare
MKD,7872.4324887102275,1758.25,-6114.1824887102275,-77.7,4,A,base<compare
PER,6386.955258693403,844.13,-5542.825258693403,-86.8,4,A,base<compare
KAZ,8699.098080689337,3646.14,-5052.958080689337,-58.1,4,A,base<compare
SYC,18002.515015209992,12963.22,-5039.295015209993,-28.0,4,A,base<compare
BWA,11542.215971089452,7404.95,-4137.265971089452,-35.8,4,A,base<compare
SEN,1677.0011489132464,48603.21,46926.208851086754,2798.2,4,A,base>compare
ERI,596.1189083877883,47005.2,46409.08109161221,7785.2,4,A,base>compare
HND,3276.858211791454,49350.9,46074.041788208546,1406.0,4,A,base>compare
YEM,2236.082481765613,46868.13,44632.04751823439,1996.0,4,A,base>compare
CHN,4114.572833569871,48298.79,44184.21716643013,1073.8,4,A,base>compare
SUR,6128.516605323683,49289.7,43161.183394676314,704.3,4,A,base>compare
