Country Code,Country Name,gdp_per_capita,hospital_beds_per_1000,physicians_per_1000,diabetes_prevalence,health_expenditure_pct_gdp,life_expectancy,population_65_plus_pct,population
COG,"Congo, Rep.",2359.177309000344,,,6.0,,64.57,2.7214158960455,5380504.0
COL,Colombia,6424.979492408304,,,7.4,,77.287,8.76583000729666,50339443.0
COM,Comoros,1370.1401234737377,,,12.3,,64.321,3.05540342654598,850891.0
CPV,Cabo Verde,3603.775240584625,,,2.4,,72.981,4.69837344413431,549936.0
CRI,Costa Rica,12669.70608225634,1.1,,9.1,,80.279,9.88043532311942,5047561.0
CSS,Caribbean small states,10355.407683765307,,,11.629342135672946,,73.75473230909361,9.000634833100971,7401389.0
CUB,Cuba,9099.673145521712,,,9.6,,78.802,15.5649591568629,11333484.0
CUW,Curacao,19701.270377456996,,,11.6,,,17.1688368905424,157441.0
CYM,Cayman Islands,91392.64258751665,,,6.8,,,,64948.0
CYP,Cyprus,28288.4615757198,,,9.0,,80.982,14.0482656487913,1198574.0
CZE,Czech Republic,23660.148806831683,,,7.0,,79.12926829268292,19.8007448446372,10671870.0
DEU,Germany,46794.89929156027,,,10.4,,80.94146341463416,21.5629923209089,83092962.0
DJI,Djibouti,3414.935392723018,,,5.1,,67.112,4.60906364271334,973557.0
DMA,Dominica,8001.99709513435,,,11.6,,,,71808.0
DNK,Denmark,59775.73509645146,2.6,,8.3,,81.20243902439026,19.965259128921,5814422.0
DOM,Dominican Republic,8282.117130509208,,,8.6,,74.081,7.29838965754406,10738957.0
DZA,Algeria,3975.5089933334993,,,6.7,,76.88,6.55277788191286,43053054.0
EAP,East Asia & Pacific (excluding high income),8189.020315871907,,,8.488061856376673,,75.40250587477419,9.93121988445652,2093675075.0
EAR,Early-demographic dividend,3485.604625787626,,,10.090910532039223,,70.70120132477639,5.969410766803284,3290291029.0
EAS,East Asia & Pacific,11532.27544355963,,,8.202460904486037,,76.2624339141968,11.17908758928047,2340673749.0
ECA,Europe & Central Asia (excluding high income),8337.857422004801,,,7.215087542264842,,73.93540011998162,12.325374243298949,418760880.0
ECS,Europe & Central Asia,24842.023931844775,,,6.6876229625698915,,78.03128034160986,16.618334615160077,920809471.0
ECU,Ecuador,6222.5246532724805,,,5.5,,77.01,7.37219936706493,17373657.0
EGY,"Egypt, Arab Rep.",3019.092283466461,,,17.2,,71.99,5.27633297632877,100388076.0
EMU,Euro area,39168.663070471004,,,6.76189991902518,,82.03854822256596,20.852295518994666,342282081.0
