iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
BMU,North America,Bermuda,2021-10-08,5336,0,50.57,75,0,3.29,82381.27,0,780.76,1157.91,0,50.73,,,,,,,,,,,,,,,,,,,87723,44573,43150,,,73,136.63,69.42,67.2,,1137,55,0.09,52.76,1308.82,,,,50669.32,,139.55,13,,,,,82.59,,64207,,,,
BTN,Asia,Bhutan,2021-10-08,2608,0,1.29,3,0,0,3339.65,0,1.65,3.84,0,0,0.52,,,,,,,,,1163917,1758,1497.03,2.26,1747,2.25,0,1019.3,samples tested,,,,,,547,,,,,699,66,0.01,50,21.19,28.6,4.88,2.98,8708.6,1.5,217.07,9.75,,,79.81,1.7,71.78,0.65,782457,,,,
BOL,South America,Bolivia,2021-10-08,500823,0,318.29,18750,0,7.71,41468.62,0,26.35,1552.52,0,0.64,1.1,65,5.32,499,40.82,,,,,2490689,6379,206.19,0.53,5392,0.45,0.06,17.2,tests performed,6951197,4365450,3479618,,19508,18544,56.86,35.71,28.47,,1517,8367,0.07,31.02,10.2,25.4,6.7,4.39,6885.83,7.1,204.3,6.89,,,25.38,1.1,71.51,0.72,12224114,,,,
BES,North America,Bonaire Sint Eustatius and Saba,2021-10-08,2099,0,14.43,20,0,0.29,73253.3,0,503.54,697.98,0,9.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.79,,27052,,,,
BIH,Europe,Bosnia and Herzegovina,2021-10-08,236418,0,687.57,10655,0,30.29,73769.85,0,214.54,3324.7,0,9.45,1.02,,,,,,,,,1248564,2555,381.71,0.78,2651,0.81,0.25,4.1,tests performed,,,,,,7419,,,,,2294,1979,0.06,35.19,68.5,42.5,16.57,10.71,11713.9,0.2,329.64,10.08,30.2,47.7,97.16,3.5,77.4,0.78,3233530,,,,
BWA,Africa,Botswana,2021-10-08,180197,0,306.71,2374,0,1,73854.41,0,125.71,972.99,0,0.41,0.76,,,,,,,,,1777500,,686.71,,2416,0.93,0.07,13.9,tests performed,,,,,,9314,,,,,3541,7734,0.29,13.89,4.04,25.8,3.94,2.24,15807.37,,237.37,4.81,5.7,34.4,,1.8,69.59,0.74,2630300,,,,
BRA,South America,Brazil,2021-10-08,21445651,0,16862.14,597225,0,508.86,101973.36,0,80.18,2839.78,0,2.42,0.89,,,,,,,,,,,,,537557,2.51,,,tests performed,250516351,154010913,98464451,2814838,1695818,1330838,116.35,71.53,45.73,1.31,6181,301386,0.14,55.49,25.04,33.5,8.55,5.06,14103.45,3.4,177.96,8.11,10.1,17.9,,2.2,75.88,0.76,215313504,,,,
VGB,North America,British Virgin Islands,2021-10-08,2718,0,6,37,0,0,70884.62,0,156.48,964.95,0,0,,,,,,,,,,,,,,,,,,,33075,17607,15468,,,21,105.56,56.19,49.37,,670,5,0.02,,207.97,,,,,,,13.67,,,,,79.07,,31332,,,,
BRN,Asia,Brunei,2021-10-08,7716,0,168,44,0,0.86,16944.31,0,368.93,96.62,0,1.88,1.11,,,,,,,,,,,,,,,,,,533305,324564,208741,,,5085,118.78,72.29,46.49,,11325,3565,0.79,76.85,81.35,32.4,4.59,2.38,71809.25,,201.28,12.79,2,30.9,,2.7,75.86,0.84,449002,,,,
BGR,Europe,Bulgaria,2021-10-08,505481,0,1873.71,20995,0,78,74053.79,0,274.5,3075.8,0,11.43,1.19,,,,,,,,,,,,,17976,2.61,0.12,8.5,tests performed,2585160,,1359501,,7203,5493,38.12,,20.05,,810,6192,0.09,50,65.18,44.7,20.8,13.27,18563.31,1.5,424.69,5.81,30.1,44.4,,7.45,75.05,0.82,6781955,,,,
BFA,Africa,Burkina Faso,2021-10-08,14341,0,22.57,187,0,0.86,637.12,0,1,8.31,0,0.04,0.95,,,,,,,,,,,,,,,,,,,,,,,2511,,,,,111,2290,0.01,13.89,70.15,17.6,2.41,1.36,1703.1,43.7,269.05,2.42,1.6,23.9,11.88,0.4,61.58,0.45,22673764,,,,
BDI,Africa,Burundi,2021-10-08,18600,0,156.43,14,0,0,1396.28,0,11.74,1.05,0,0,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,423.06,17.5,2.56,1.5,702.22,71.7,293.07,6.05,,,6.14,0.8,61.58,0.43,12889583,,,,
KHM,Asia,Cambodia,2021-10-08,113256,0,595.57,2383,0,20,6583.99,0,34.62,138.53,0,1.16,0.67,,,,,,,,,,,,,3435,0.21,0.06,16.4,tests performed,24510673,13468296,11182731,912797,62602,25452,146.18,80.32,66.69,5.44,1518,9482,0.06,76.55,90.67,25.6,4.41,2.38,3645.07,,270.89,4,2,33.7,66.23,0.8,69.82,0.59,16767851,,,,
CMR,Africa,Cameroon,2021-10-08,95399,0,442.29,1517,0,8.29,3452.39,0,16.01,54.9,0,0.3,0.58,,,,,,,,,,,,,,,,,,,,,,,904,,,,,32,903,0,38.89,50.88,18.8,3.16,1.92,3364.93,23.8,244.66,7.2,,,2.74,1.3,59.29,0.56,27914542,,,,
CAN,North America,Canada,2021-10-08,1629142,0,4333.57,27642,0,42.57,41965.2,0,111.63,712.03,0,1.1,0.93,669,17.4,2595,67.48,,,,,44186056,118195,1158.07,3.1,104256,2.73,0.04,27.8,tests performed,57070267,29368687,27416022,285558,98643,86059,148.41,76.37,71.3,0.74,2238,29257,0.08,64.89,4.04,41.4,16.98,10.8,44017.59,0.5,105.6,7.37,12,16.6,,2.5,82.43,0.93,38454328,,,,
CPV,Africa,Cape Verde,2021-10-08,37635,0,33.57,340,0,0.86,72409.81,0,64.59,654.16,0,1.65,0.77,,,,,,,,,,,,,,,,,tests performed,,,,,,4471,,,,,7538,97,0.02,66.6,135.58,25.7,4.46,3.44,6222.55,,182.22,2.42,2.1,16.5,,2.1,72.98,0.66,593162,,,,
CYM,North America,Cayman Islands,2021-10-08,853,0,8.29,2,0,0,11911.91,0,115.71,27.93,0,0,,,,,,,,,,,,,,,,,,,,,,,,190,,,,,2765,37,0.05,,256.5,,,,49903.03,,,13.22,,,,,83.92,,68722,,,,
CAF,Africa,Central African Republic,2021-10-08,11401,0,3.71,100,0,0,2236.35,0,0.73,19.61,0,0,0.42,,,,,,,,,,,,,,,,,,,,,,,3453,,,,,619,3453,0.06,18.52,7.48,18.3,3.66,2.25,661.24,,435.73,6.1,,,16.6,1,53.28,0.4,5579148,,,,
TCD,Africa,Chad,2021-10-08,5042,0,1.57,174,0,0,273.2,0,0.08,9.43,0,0,0.8,,,,,,,,,,,,,,,,,,,,,,,2534,,,,,143,2054,0.01,22.22,11.83,16.7,2.49,1.45,1768.15,38.4,281,6.1,,,5.82,,54.24,0.4,17723312,,,,
CHL,South America,Chile,2021-10-08,1655884,0,699.86,37484,0,7.43,84686.81,0,35.79,1917.04,0,0.38,1.2,377,19.23,,,132,6.73,413,21.07,22022079,62960,1129.73,3.23,54727,2.81,0.01,72.3,tests performed,33417865,15940704,14228837,3817780,144983,114811,170.47,81.31,72.58,19.47,5857,51033,0.26,38.62,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736,,,,
