iso,pwt70_rgdpch,pwt71_rgdpch,abs_diff,rel_diff_pct
CZE,20696.00042,20346.88421,-349.11621000000014,-1.6868776716037588
DNK,34700.06983,34677.4791,-22.590730000003532,-0.06510283728729757
DJI,2197.988757,2009.542884,-188.44587300000012,-8.573559459749324
DMA,5028.139867,5926.801137,898.6612700000005,17.872638665005546
DOM,7955.793722,7895.8632,-59.930522000000565,-0.7532940658614095
ECU,5766.73425,5519.978051,-246.75619900000038,-4.278959083297455
EGY,4280.901583,3968.386985,-312.51459799999975,-7.300205154003882
SLV,5989.78841,5888.375043,-101.41336700000011,-1.6931043312095913
GNQ,15411.48454,14912.66986,-498.8146799999995,-3.236642639489677
ERI,715.2061167,704.6020363,-10.604080400000043,-1.482660753647892
EST,16142.1727,15962.3545,-179.8181999999997,-1.113965284239585
ETH,509.972316,475.1066606,-34.86565539999998,-6.836774135794458
FJI,4513.928223,4431.406909,-82.52131399999962,-1.828148564248883
FIN,31757.5533,32293.144,535.5907000000007,1.6864986258245551
FRA,30973.59174,31230.27351,256.68176999999923,0.8287116720419433
GAB,10298.28608,10120.31643,-177.9696499999991,-1.7281482434793567
GMB,1155.75816,1110.031872,-45.72628800000007,-3.9563889386686277
GEO,3820.225017,3732.469711,-87.75530600000002,-2.2971240073422097
GER,31610.62899,31657.47404,46.8450499999999,0.14819398252030766
GHA,1045.076592,1658.091419,613.0148270000002,58.65740670995723
GRC,25724.41237,25308.15661,-416.25576,-1.6181351550927578
GRD,12644.26086,15890.18153,3245.9206699999995,25.67109857934392
GTM,5629.315335,5588.835627,-40.479707999999846,-0.7190875904271908
GIN,869.9910658,837.1232491,-32.86781670000005,-3.7779487620113037
GNB,793.7350444,774.5184738,-19.216570599999955,-2.4210308887805425
GUY,3760.526113,3727.134093,-33.392019999999775,-0.8879613914809631
HTI,1358.983013,1269.047341,-89.93567200000007,-6.617865796678657
HND,3309.777852,3298.896446,-10.88140599999997,-0.3287654485156658
HKG,33083.16627,32527.14758,-556.0186900000008,-1.6806695147078519
HUN,16643.96374,16475.81996,-168.14377999999851,-1.0102388026471303
ISL,39894.58256,40447.92832,553.3457599999965,1.3870198019186806
IND,2556.26131,2491.526848,-64.7344619999999,-2.5323882870174916
IDN,3446.542072,3224.11536,-222.4267120000004,-6.453619522216597
IRN,9138.237115,8720.964225,-417.2728900000002,-4.566229621193192
IRQ,3757.178018,3656.383649,-100.79436900000019,-2.682714753389686
IRL,37032.42594,40247.22235,3214.7964099999954,8.681031092072159
ISR,23814.29418,23227.20378,-587.090400000001,-2.465285746293745
ITA,29375.70889,29561.74119,186.03229999999894,0.633286164077312
JAM,9011.096535,8992.778333,-18.318202000000383,-0.2032849379523419
JPN,32761.12581,31379.76769,-1381.3581200000008,-4.216454977802854
JOR,4393.870647,4248.751942,-145.11870499999986,-3.3027532364677703
KAZ,8934.953234,8791.088514,-143.8647200000014,-1.6101340010662375
KEN,1172.014618,1143.731166,-28.283451999999897,-2.413233722994392
KIR,3715.222314,3829.675248,114.45293399999991,3.0806483253696326
KOR,22808.08929,22577.33468,-230.75460999999996,-1.0117226702596795
KWT,49207.74507,48940.23044,-267.51462999999785,-0.5436433423629705
