iso,pwt70_rgdpch,pwt71_rgdpch,pwt_abs_diff,pwt_rel_diff_pct,wdi_ppp_2005,wdi2011_pwt70_abs_diff,wdi2011_pwt70_rel_diff_pct,wdi2011_pwt71_abs_diff,wdi2011_pwt71_rel_diff_pct
BEL,33719.86669,33892.67915,172.812460000001,0.5124944934946923,32181.07153835018,-1538.7951516498215,-4.563467482824207,-1711.6076116498225,-5.050080591371079
BLZ,9026.247538,8980.72186,-45.52567799999997,-0.5043699256899326,6254.342072525318,-2771.9054654746815,-30.7093889659586,-2726.3797874746815,-30.3581363500181
BEN,1190.4635,1136.409613,-54.05388700000003,-4.540574910528548,1349.1373854732756,158.6738854732755,13.328748464213769,212.72777247327554,18.719286605794977
BTN,3562.582741,3037.972484,-524.6102570000003,-14.725559941738917,3480.176982828996,-82.40575817100398,-2.3130903662288858,442.2044988289963,14.555908625174904
BOL,3428.714209,3312.740713,-115.97349600000007,-3.38241944153824,3772.038631397097,343.3244223970969,10.013211993461216,459.29791839709696,13.864590023441927
BIH,4982.069803,4828.065757,-154.00404600000002,-3.091165962935024,6239.958541165655,1257.888738165655,25.248316220061902,1411.892784165655,29.243445620404273
BWA,9306.059578,9441.378924,135.31934600000022,1.4540992873063274,11542.215971102181,2236.156393102181,24.02903585947987,2100.837047102181,22.251379422574065
BRA,8349.947528,7234.049669,-1115.8978590000006,-13.364130196723323,8509.426302526892,159.47877452689136,1.9099374456199736,1275.376633526892,17.63018906259727
BRN,50007.13784,48775.90886,-1231.2289799999999,-2.462106477558004,48377.125740438125,-1630.0120995618781,-3.2595588749293594,-398.78311956187827,-0.8175821402046926
BGR,9187.832973,8903.995493,-283.83748000000014,-3.089275576015634,9818.706747385279,630.873774385278,6.866404474691771,914.7112543852782,10.273042648150385
BFA,870.145883,848.8706887,-21.275194300000067,-2.4450146481932005,1006.996517923031,136.85063492303095,15.727320854660753,158.12582922303102,18.627787639268387
BDI,368.535868,372.5991953,4.063327300000026,1.1025595207465737,346.1269067214431,-22.408961278556887,-6.080537397938398,-26.472288578556913,-7.104762681315675
KHM,1560.10657,1489.046957,-71.0596129999999,-4.554792240891588,1508.0083969212021,-52.0981730787978,-3.339398351408635,18.9614399212021,1.2733943568444566
CMR,1793.233862,1742.694249,-50.539613000000145,-2.8183503597033983,1985.7385861430328,192.50472414303272,10.735059616169167,243.04433714303286,13.94647037381902
CAN,36449.09257,36653.89691,204.8043400000024,0.5618914643942874,35033.422929423214,-1415.669640576787,-3.8839640187420637,-1620.4739805767895,-4.421014181809105
CPV,2882.263381,2845.919007,-36.34437400000024,-1.2609664418451092,2701.606712367457,-180.6566686325432,-6.2678750950880975,-144.31229463254294,-5.070850374785207
CAF,547.3717106,532.3156216,-15.056089000000043,-2.7506151137215973,672.0038041041403,124.63209350414024,22.769187937667642,139.6881825041403,26.241608706555436
TCD,1293.27867,1295.710357,2.431687000000011,0.18802498304561158,1373.9425880103586,80.66391801035866,6.237164493740445,78.23223101035865,6.037786962781733
CHL,11219.25508,11068.38508,-150.8700000000008,-1.3447416867181239,12168.376248376975,949.1211683769743,8.459752110181759,1099.991168376975,9.938136055318516
CHN,4735.81457,4335.119467,-400.6951029999991,-8.46095422608574,4114.572833560503,-621.2417364394969,-13.117948924243816,-220.54663343949778,-5.087440729565891
COL,6662.063428,6490.991627,-171.07180100000005,-2.56785007901609,7304.555743941839,642.4923159418386,9.644043814436024,813.5641169418386,12.533741586689596
COM,960.6239984,939.8249878,-20.799010599999974,-2.165156256208722,1052.7704885325952,92.1464901325952,9.592357705623941,112.94550073259518,12.017716298114708
ZAR,217.8756728,207.4695252,-10.406147599999997,-4.776186100204207,273.6191829645661,55.74351016456612,25.585008848480363,66.14965776456611,31.884035836491186
COG,2188.299078,2183.40273,-4.896348000000216,-0.2237513166836063,3381.188322604495,1192.8892446044952,54.51216685128518,1197.7855926044954,54.858665153564935
CRI,9949.064849,9939.315785,-9.749063999999635,-0.09798975228289453,9041.537249029538,-907.5275999704627,-9.12173770846091,-897.778535970463,-9.032598977540816
CIV,1328.604982,1298.499176,-30.10580600000003,-2.265971180890847,1666.009605954503,337.404623954503,25.39540559652237,367.510429954503,28.302707983736376
HRV,14110.46735,14028.28493,-82.182420000001,-0.5824216729433912,15346.45479500269,1235.9874450026891,8.759365755540967,1318.1698650026901,9.396514766988627
